drug,target
Ascorbic Acid,KLRK1
Ascorbic Acid,LCK
Ascorbic Acid,LEP
Ascorbic Acid,LHB
Ascorbic Acid,LXN
Ascorbic Acid,LYN
Ascorbic Acid,MAP2
Ascorbic Acid,MAP2K3
Ascorbic Acid,MAP2K6
Ascorbic Acid,MAP3K5
Ascorbic Acid,MAPK1
Ascorbic Acid,MAPK14
Ascorbic Acid,MAPK3
Ascorbic Acid,MAPK8
Ascorbic Acid,MAPK9
Ascorbic Acid,MDM2
Ascorbic Acid,MLH1
Ascorbic Acid,MMP13
Ascorbic Acid,MPO
Ascorbic Acid,MSH2
Ascorbic Acid,MT3
Ascorbic Acid,MYB
Ascorbic Acid,MYH11
Ascorbic Acid,NDRG1
Ascorbic Acid,NES
Ascorbic Acid,NFE2L1
Ascorbic Acid,NFE2L2
Ascorbic Acid,NFE2L3
Ascorbic Acid,NFKB1
Ascorbic Acid,NFKBIA
Ascorbic Acid,NKX2-1
Ascorbic Acid,NOS2
Ascorbic Acid,NOS3
Ascorbic Acid,NOX1
Ascorbic Acid,NOX4
Ascorbic Acid,NQO1
Ascorbic Acid,OGDH
Ascorbic Acid,P4HTM
Ascorbic Acid,PARP1
Ascorbic Acid,PCNA
Ascorbic Acid,PDGFRB
Ascorbic Acid,PDIA3
Ascorbic Acid,PEBP1
Ascorbic Acid,PFKFB1
Ascorbic Acid,PLAT
Ascorbic Acid,PLG
Ascorbic Acid,PLS3
Ascorbic Acid,PNP
Ascorbic Acid,PON1
Ascorbic Acid,PON2
Ascorbic Acid,PRL
Ascorbic Acid,PSME2
Ascorbic Acid,PTGS2
Ascorbic Acid,RAC1
Ascorbic Acid,RAN
Ascorbic Acid,RELA
Ascorbic Acid,RPSA
Ascorbic Acid,SDHA
Ascorbic Acid,SERPINE1
Ascorbic Acid,SFTPB
Ascorbic Acid,SLC11A2
Ascorbic Acid,SLC22A7
Ascorbic Acid,SLC23A1
Ascorbic Acid,SLC23A2
Ascorbic Acid,SLC2A4
Ascorbic Acid,SOD1
Ascorbic Acid,SOD2
Ascorbic Acid,SOD3
Ascorbic Acid,SP1
Ascorbic Acid,SP3
Ascorbic Acid,SP4
Ascorbic Acid,SP7
Ascorbic Acid,SPARC
Ascorbic Acid,SPP1
Ascorbic Acid,SRC
Ascorbic Acid,STAT1
Ascorbic Acid,STAT3
Ascorbic Acid,SUCLG2
Ascorbic Acid,TBC1D4
Ascorbic Acid,TFRC
Ascorbic Acid,TGFB1
Ascorbic Acid,TH
Ascorbic Acid,TIMP1
Ascorbic Acid,TLR2
Ascorbic Acid,TLR4
Ascorbic Acid,TNF
Ascorbic Acid,TNFSF10
Ascorbic Acid,TP53
Ascorbic Acid,TRPC5
Ascorbic Acid,TSHB
Ascorbic Acid,TYR
Ascorbic Acid,UGT1A6
Ascorbic Acid,UGT2B17
Ascorbic Acid,VCAM1
Ascorbic Acid,VHL
Ascorbic Acid,VIP
Ascorbic Acid,XRCC1
Ascorbic Acid,YWHAE
Atorvastatin,ABCA1
Atorvastatin,ABCB1
Atorvastatin,ABCB11
Atorvastatin,ABCB4
Atorvastatin,ABCC2
Atorvastatin,ABCC3
Atorvastatin,ADAM12
Atorvastatin,ADAM17
Atorvastatin,ADIPOQ
Atorvastatin,AGT
Atorvastatin,AKT1
Atorvastatin,APOB
Atorvastatin,APOE
Atorvastatin,APP
Atorvastatin,BAK1
Atorvastatin,BAX
Atorvastatin,BCL2
Atorvastatin,BECN1
Atorvastatin,BID
Atorvastatin,BIRC5
Atorvastatin,BMP2
Atorvastatin,CASP3
Atorvastatin,CASP8
Atorvastatin,CASP9
Atorvastatin,CAT
Atorvastatin,CCL2
Atorvastatin,CD14
Atorvastatin,CD36
Atorvastatin,CD40
Atorvastatin,CD40LG
Atorvastatin,CD83
Atorvastatin,CD86
Atorvastatin,CDKN1A
Atorvastatin,CDKN1B
Atorvastatin,CRP
Atorvastatin,CSF2
Atorvastatin,CXCL8
Atorvastatin,CYP27A1
Atorvastatin,CYP3A4
Atorvastatin,DCX
Atorvastatin,DGAT1
Atorvastatin,EDN1
Atorvastatin,EGFR
Atorvastatin,EIF2S1
Atorvastatin,F2
Atorvastatin,F5
Atorvastatin,FAS
Atorvastatin,FASLG
Atorvastatin,GNG3
Atorvastatin,HBEGF
Atorvastatin,HMGCR
Atorvastatin,ICAM1
Atorvastatin,IL1B
Atorvastatin,IL2RA
Atorvastatin,IL6
Atorvastatin,INS
Atorvastatin,ITGAM
Atorvastatin,ITGAX
Atorvastatin,JUN
Atorvastatin,KHK
Atorvastatin,LDLR
Atorvastatin,LEP
Atorvastatin,MAPK1
Atorvastatin,MAPK14
Atorvastatin,MAPK3
Atorvastatin,MCL1
Atorvastatin,MLXIPL
Atorvastatin,MMP2
Atorvastatin,MMP9
Atorvastatin,NOS2
Atorvastatin,NOS3
Atorvastatin,NOX1
Atorvastatin,NPPB
Atorvastatin,NR1I2
Atorvastatin,NR1I3
Atorvastatin,PARP1
Atorvastatin,PCYT1A
Atorvastatin,PDPK1
Atorvastatin,PLAU
Atorvastatin,PON1
Atorvastatin,PON2
Atorvastatin,PPARA
Atorvastatin,PRKACA
Atorvastatin,PTEN
